source	target	score
LOX	LOXL2	0.753
SPARC	ALB	0.991
LTF	CP	0.971
LTF	ALB	0.996
ATP7B	COX17	0.773
ATP7B	ATP7A	0.908
ATP7B	SLC31A2	0.93
ATP7B	SLC31A1	0.943
ATP7B	COMMD1	0.978
ATP7B	CP	0.979
ATP7B	CCS	0.992
ATP7B	ATOX1	0.998
AOC2	DBH	0.901
AOC2	AOC3	0.944
SCO1	ATOX1	0.794
SCO1	COX11	0.961
SCO1	MT-CO1	0.974
SCO1	COX17	0.994
SCO1	MT-CO2	0.996
SLC31A2	CCS	0.714
SLC31A2	COX17	0.77
SLC31A2	ATOX1	0.815
SLC31A2	ATP7A	0.91
COX17	ATP7A	0.775
COX17	SOD1	0.781
COX17	SLC31A1	0.783
COX17	CCS	0.816
COX17	MT-CO2	0.894
COX17	COX11	0.939
COX17	ATOX1	0.954
COX17	SCO2	0.98
TYR	AFP	0.777
TYR	TYRP1	0.896
CP	ATOX1	0.723
CP	AFP	0.737
CP	HEPH	0.904
CP	ALB	0.936
CP	ATP7A	0.939
SOD1	ATP7A	0.715
SOD1	MT-CO1	0.72
SOD1	PRNP	0.74
SOD1	APP	0.802
SOD1	SNCA	0.897
SOD1	ATOX1	0.932
SOD1	PARK7	0.997
SOD1	CCS	0.999
APP	PARK7	0.731
APP	S100B	0.748
APP	ALB	0.901
APP	SNCA	0.993
APP	PRNP	0.998
ALB	F5	0.747
ALB	AFP	0.927
COX11	ATOX1	0.777
COX11	SCO2	0.923
COX11	MT-CO1	0.964
COX11	MT-CO2	0.979
COMMD1	ATP7A	0.735
COMMD1	ATOX1	0.86
AOC3	DBH	0.902
PARK7	SOD3	0.901
PARK7	SNCA	0.994
ATP7A	SOD3	0.87
ATP7A	SLC31A1	0.938
ATP7A	CCS	0.993
ATP7A	ATOX1	0.999
MT-CO1	SCO2	0.969
MT-CO1	MT-CO2	0.999
MT-CO2	SCO2	0.996
CUTC	CUTA	0.738
SLC31A1	CCS	0.801
SLC31A1	ATOX1	0.885
SOD3	ATOX1	0.913
SOD3	CCS	0.917
PRNP	SNCA	0.984
ATOX1	SCO2	0.846
ATOX1	CCS	0.973
