gene_symbol,module_id,module_size
AFP,0,8
APP,0,8
ATOX1,0,8
ATP7A,0,8
ATP7B,0,8
PRNP,0,8
SLC31A2,0,8
SNCA,0,8
GPC1,1,7
LOX,1,7
LOXL1,1,7
LOXL2,1,7
LOXL3,1,7
LOXL4,1,7
SPARC,1,7
COX11,2,6
COX17,2,6
MT-CO1,2,6
MT-CO2,2,6
SCO1,2,6
SCO2,2,6
ALB,3,6
CP,3,6
F5,3,6
HEPH,3,6
HEPHL1,3,6
LTF,3,6
MAP2K1,4,6
MEMO1,4,6
S100A12,4,6
S100A13,4,6
S100A5,4,6
S100B,4,6
CCS,5,5
PARK7,5,5
SLC31A1,5,5
SOD1,5,5
SOD3,5,5
COMMD1,6,3
CUTA,6,3
CUTC,6,3
AOC1,7,3
AOC2,7,3
AOC3,7,3
DBH,8,3
TYR,8,3
TYRP1,8,3
MOXD1,9,2
MOXD2P,9,2
MT3,10,2
MT4,10,2
ENOX1,11,1
ENOX2,12,1
PAM,13,1
