model,setting,fold,balanced_accuracy,f1,roc_auc,n_val
gat,gnn_legacy,0,0.9466666666666667,0.9436619718309859,1.0,85
gat,gnn_legacy,1,0.9299999999999999,0.972972972972973,0.992,85
gat,gnn_legacy,2,0.85,0.9803921568627451,0.9893333333333334,85
gat,gnn_legacy,3,0.8933333333333333,0.9801324503311258,0.9866666666666666,85
gat,gnn_legacy,4,0.972972972972973,0.9722222222222222,0.9972972972972973,84
gat,gnn_groupkfold,0,0.902241594022416,0.9795918367346939,0.9900373599003736,84
gat,gnn_groupkfold,1,0.993421052631579,0.9933774834437086,1.0,85
gat,gnn_groupkfold,2,0.8266666666666667,0.9673202614379085,0.9922222222222221,87
gat,gnn_groupkfold,3,0.9039039039039038,0.951048951048951,0.9864864864864865,83
gat,gnn_groupkfold,4,0.9407894736842105,0.9370629370629371,0.9941520467836257,85
gat,gnn_permutation_seed0,0,0.4589041095890411,0.8933333333333333,0.5397260273972603,83
gat,gnn_permutation_seed0,1,0.48289473684210527,0.12195121951219512,0.511842105263158,86
gat,gnn_permutation_seed0,2,0.5,0.95,0.6052631578947368,84
gat,gnn_permutation_seed0,3,0.5416666666666666,0.9281045751633987,0.5481220657276995,83
gat,gnn_permutation_seed0,4,0.4935897435897436,0.9333333333333333,0.7064102564102563,88
gat,gnn_permutation_seed1,0,0.5,0.9620253164556962,0.5328947368421053,82
gat,gnn_permutation_seed1,1,0.5541490857946554,0.8974358974358975,0.6343178621659634,88
gat,gnn_permutation_seed1,2,0.5217717717717718,0.9139072847682119,0.6621621621621622,83
gat,gnn_permutation_seed1,3,0.47183098591549294,0.8993288590604027,0.620998719590269,82
gat,gnn_permutation_seed1,4,0.5,0.9079754601226994,0.6513513513513514,89
gat,gnn_permutation_seed2,0,0.49333333333333335,0.9426751592356688,0.5800000000000001,83
gat,gnn_permutation_seed2,1,0.6017316017316017,0.8933333333333333,0.5512265512265512,86
gat,gnn_permutation_seed2,2,0.4812121212121212,0.1,0.48484848484848486,86
gat,gnn_permutation_seed2,3,0.5,0.9240506329113924,0.5936073059360731,85
gat,gnn_permutation_seed2,4,0.5,0.9367088607594937,0.731081081081081,84
