gene,pearson_r,p_value,n,adj_p,sig
AFP,-0.6189,1.9228961857201407e-45,417,9.42219131002869e-44,True
F5,-0.5228,1.2425227823376995e-30,417,3.044180816727364e-29,True
SOD1,-0.4156,7.692621894560548e-19,417,7.538769456669338e-18,True
LOXL4,-0.3987,2.449402243342757e-17,417,2.0003451653965848e-16,True
SCO2,-0.3167,3.597067670620354e-11,417,2.2032039482549666e-10,True
APP,-0.2843,3.3926241529282346e-09,417,1.6623858349348348e-08,True
S100A13,-0.2419,5.762485314916415e-07,417,2.3530148369242025e-06,True
MT3,-0.2317,1.7241411032657613e-06,417,6.498685696924792e-06,True
PARK7,-0.2126,1.195269956882398e-05,417,3.904548525815833e-05,True
AOC2,-0.2051,2.431240152664396e-05,417,7.445672967534713e-05,True
LOX,-0.2,3.8902638934928465e-05,417,0.00011213113575361735,True
LOXL3,-0.1764,0.00029572106072830036,417,0.0007626490513519325,True
GPC1,-0.1727,0.0003967171402254935,417,0.0009719569935524591,True
SNCA,-0.1574,0.0012610059565685934,417,0.0029423472319933842,True
ATOX1,-0.1359,0.005455511440928973,417,0.011622611330674769,True
ALB,-0.1258,0.0126668135906229,392,0.023872071766943156,True
ATP7B,-0.1102,0.024470674073342226,417,0.04282367962834889,True
HEPHL1,-0.0904,0.06507700667977229,417,0.10629244424362808,False
CCS,-0.0714,0.1455270648871269,417,0.2228383181084131,False
S100B,-0.0671,0.1717331343977352,417,0.2549976844087583,False
MEMO1,-0.0455,0.3537549715315032,417,0.45615772644851726,False
ENOX2,-0.0422,0.39026592688632994,417,0.4903341132674402,False
ENOX1,-0.0305,0.534774073905286,417,0.6329970519727257,False
MT4,-0.0299,0.5425689016909078,417,0.6329970519727257,False
SCO1,-0.0265,0.5892190098754163,417,0.6561757155430773,False
SLC31A1,-0.0074,0.8801823828336062,417,0.8801823828336063,False
COMMD1,0.0115,0.8145297026225647,417,0.8314990714272015,False
ATP7A,0.0125,0.7989995992787959,417,0.8314990714272015,False
MOXD1,0.0131,0.7904277376043845,417,0.8314990714272015,False
MAP2K1,0.019,0.6985279007335158,417,0.7606192696876062,False
COX11,0.0275,0.5753238848429519,417,0.6556016362163871,False
PAM,0.0349,0.4777210239249573,417,0.5852082543080728,False
TYR,0.05,0.3079482486071591,417,0.407823356263535,False
CUTA,0.0502,0.30625727662746394,417,0.407823356263535,False
COX17,0.0569,0.24638894541120754,417,0.34494452357569055,False
CUTC,0.0595,0.22544768668613754,417,0.32490990140061,False
TYRP1,0.0871,0.07566460486419352,417,0.1195988915595317,False
SPARC,0.103,0.03541670849679819,417,0.0598420247014866,False
SLC31A2,0.1148,0.019001671882790623,417,0.03448451563913854,True
S100A5,0.1229,0.012022616806137277,417,0.023564328940029064,True
LOXL2,0.1287,0.008492801604231284,417,0.017339469941972205,True
AOC3,0.1506,0.0020373552928207002,417,0.004537745879464287,True
DBH,0.1852,0.00014248446881971502,417,0.00038787438734255757,True
LTF,0.2247,3.590940077994376e-06,417,1.2568290272980315e-05,True
LOXL1,0.264,4.434972655259138e-08,417,1.9755787282517978e-07,True
SOD3,0.305,1.982189328288818e-10,417,1.079191967623912e-09,True
S100A12,0.3547,8.236131530183613e-14,417,5.765292071128529e-13,True
HEPH,0.4156,7.577281002474951e-19,417,7.538769456669338e-18,True
PRNP,0.4909,1.129132632815822e-26,417,1.8442499669325094e-25,True
