gene,mean_early,mean_late,delta,direction,p_value,adj_p,sig
ATOX1,0.0314,0.0417,0.0103,hyper in late,0.005986402238040275,0.0977779032213245,False
COMMD1,0.0354,0.0332,-0.0022,hypo in late,0.002789162861978297,0.0977779032213245,False
AOC2,0.5574,0.5374,-0.02,hypo in late,0.0049640655963182345,0.0977779032213245,False
GPC1,0.2833,0.2696,-0.0137,hypo in late,0.010413425302506255,0.12756445995570162,False
PARK7,0.0385,0.0365,-0.0021,hypo in late,0.013276234793938545,0.13010710098059775,False
MT4,0.6544,0.6141,-0.0403,hypo in late,0.020954435575665103,0.17112789053459834,False
CUTC,0.0374,0.0384,0.001,hyper in late,0.0793191928924032,0.39215280234423877,False
ENOX1,0.1889,0.1741,-0.0148,hypo in late,0.06434023674374365,0.39215280234423877,False
PRNP,0.4415,0.4319,-0.0095,hypo in late,0.05659378500431817,0.39215280234423877,False
MT3,0.4369,0.4027,-0.0342,hypo in late,0.08769958965681313,0.39215280234423877,False
ENOX2,0.0747,0.0882,0.0135,hyper in late,0.08803430256707401,0.39215280234423877,False
MEMO1,0.0367,0.0344,-0.0023,hypo in late,0.0997163127897726,0.40717494389157144,False
LTF,0.3199,0.3611,0.0411,hyper in late,0.14310919300523214,0.5394115736351057,False
F5,0.115,0.135,0.02,hyper in late,0.15568410782181874,0.5448943773763656,False
PAM,0.4204,0.4085,-0.0119,hypo in late,0.21712352249294642,0.694996065284388,False
ATP7A,0.1111,0.1299,0.0188,hyper in late,0.2411210838741754,0.694996065284388,False
MOXD1,0.2768,0.2694,-0.0075,hypo in late,0.2356124362726083,0.694996065284388,False
COX11,0.0428,0.043,0.0002,hyper in late,0.2625555128879349,0.7147344517504894,False
CCS,0.1627,0.1591,-0.0036,hypo in late,0.28472201076203874,0.7197263446257498,False
AFP,0.8301,0.8245,-0.0056,hypo in late,0.29376585494928564,0.7197263446257498,False
SNCA,0.2117,0.2159,0.0042,hyper in late,0.31358424143019803,0.7316965633371287,False
SLC31A1,0.0289,0.0283,-0.0006,hypo in late,0.35483861110337434,0.7903223610938792,False
HEPHL1,0.5734,0.5926,0.0193,hyper in late,0.3873843349373286,0.8252970613882218,False
SLC31A2,0.2282,0.2205,-0.0076,hypo in late,0.42305952337975383,0.8526227650656969,False
SOD1,0.1061,0.1144,0.0083,hyper in late,0.4350116148294372,0.8526227650656969,False
TYR,0.3116,0.3088,-0.0027,hypo in late,0.4716435695982686,0.8888667273198139,False
ATP7B,0.0309,0.0309,-0.0,hypo in late,0.4915258242023183,0.8920283476264295,False
AOC3,0.394,0.3956,0.0017,hyper in late,0.5302347379990942,0.9279107914984148,False
LOXL1,0.4931,0.5006,0.0076,hyper in late,0.7720229574527353,0.9829820500396228,False
LOXL4,0.1405,0.1412,0.0007,hyper in late,0.7463458174248788,0.9829820500396228,False
SCO1,0.0589,0.0613,0.0023,hyper in late,0.8551810220506859,0.9829820500396228,False
COX17,0.0727,0.074,0.0013,hyper in late,0.8166121253411893,0.9829820500396228,False
S100A5,0.6052,0.6141,0.0088,hyper in late,0.7101540203855066,0.9829820500396228,False
TYRP1,0.5995,0.5776,-0.0219,hypo in late,0.6449441845442041,0.9829820500396228,False
ALB,0.3393,0.3391,-0.0003,hypo in late,0.754079078631423,0.9829820500396228,False
SOD3,0.3135,0.3112,-0.0023,hypo in late,0.6040240104787591,0.9829820500396228,False
LOXL3,0.1817,0.1866,0.0049,hyper in late,0.8708063407742582,0.9829820500396228,False
LOXL2,0.2022,0.2039,0.0018,hyper in late,0.8826777592192532,0.9829820500396228,False
HEPH,0.4175,0.416,-0.0014,hypo in late,0.856126548643319,0.9829820500396228,False
MAP2K1,0.0423,0.0433,0.001,hyper in late,0.8613298519861262,0.9829820500396228,False
S100B,0.4386,0.4367,-0.002,hypo in late,0.8499849887666092,0.9829820500396228,False
S100A13,0.2613,0.2573,-0.004,hypo in late,0.5989920239852322,0.9829820500396228,False
SPARC,0.4176,0.416,-0.0016,hypo in late,0.7182437006099017,0.9829820500396228,False
APP,0.0896,0.0953,0.0058,hyper in late,0.6971892523614533,0.9829820500396228,False
LOX,0.2278,0.2402,0.0125,hyper in late,0.9726109028178302,0.9927910248204082,False
DBH,0.4889,0.4897,0.0008,hyper in late,0.9927910248204082,0.9927910248204082,False
SCO2,0.1254,0.1257,0.0003,hyper in late,0.9409395993950697,0.9927910248204082,False
CUTA,0.2933,0.2937,0.0003,hyper in late,0.9260928395908687,0.9927910248204082,False
S100A12,0.4312,0.4378,0.0065,hyper in late,0.9865436983925716,0.9927910248204082,False
