task,seed,roc_auc,balanced_accuracy
survival_3yr,1,0.6622946254525202,0.5889724310776943
survival_3yr,2,0.6923976608187135,0.572514619883041
survival_3yr,3,0.6809245335561125,0.5787385129490393
survival_3yr,4,0.6737677527151211,0.591687552213868
survival_3yr,5,0.6939014202172096,0.5403508771929826
survival_3yr,6,0.6956836535783905,0.6205096073517126
survival_3yr,7,0.6750208855472014,0.5137009189640768
survival_3yr,8,0.6644388749651908,0.6086466165413533
survival_3yr,9,0.6775271512113618,0.55421888053467
survival_3yr,10,0.68312447786132,0.5389724310776942
